Class,Subject,Unit,Lesson,Term
10,Tamil,Unit 1,அமுத ஊற்று (Amudha Ootru),Full Year
10,Tamil,Unit 2,உயிரின் ஓசை (Uyirin Osai),Full Year
10,Tamil,Unit 3,கூட்டாஞ்சோறு (Koottanchooru),Full Year
10,Tamil,Unit 4,நான்காம் தமிழ்ச் சங்கம் (Naangaam Thamizh Sangam),Full Year
10,Tamil,Unit 5,மணற்கேணி (Manarkeni),Full Year
10,Tamil,Unit 6,நிலா முற்றம் (Nila Mutram),Full Year
10,Tamil,Unit 7,விதைநெல் (Vidhainel),Full Year
10,Tamil,Unit 8,பெருவழி (Peruvazhi),Full Year
10,Tamil,Unit 9,அன்பின் மொழி (Anbin Mozhi),Full Year
10,English,Unit 1,His First Flight,Full Year
10,English,Unit 2,The Night the Ghost Got In,Full Year
10,English,Unit 3,Empowered Women Navigating The World,Full Year
10,English,Unit 4,The Attic,Full Year
10,English,Unit 5,Tech Bloomers,Full Year
10,English,Unit 6,The Last Lesson,Full Year
10,English,Unit 7,The Dying Detective,Full Year
10,Maths,Unit 1,Relations and Functions,Full Year
10,Maths,Unit 2,Numbers and Sequences,Full Year
10,Maths,Unit 3,Algebra,Full Year
10,Maths,Unit 4,Geometry,Full Year
10,Maths,Unit 5,Coordinate Geometry,Full Year
10,Maths,Unit 6,Trigonometry,Full Year
10,Maths,Unit 7,Mensuration,Full Year
10,Maths,Unit 8,Statistics and Probability,Full Year
10,Science,Physics,Laws of Motion,Full Year
10,Science,Physics,Optics,Full Year
10,Science,Physics,Thermal Physics,Full Year
10,Science,Physics,Electricity,Full Year
10,Science,Physics,Acoustics,Full Year
10,Science,Physics,Nuclear Physics,Full Year
10,Science,Chemistry,Atoms and Molecules,Full Year
10,Science,Chemistry,Periodic Classification of Elements,Full Year
10,Science,Chemistry,Solutions,Full Year
10,Science,Chemistry,Types of Chemical Reactions,Full Year
10,Science,Chemistry,Carbon and its Compounds,Full Year
10,Science,Biology,Plant Anatomy and Plant Physiology,Full Year
10,Science,Biology,Structural Organisation of Animals,Full Year
10,Science,Biology,Transportation in Plants and Circulation in Animals,Full Year
10,Science,Biology,Nervous System,Full Year
10,Science,Biology,Plant and Animal Hormones,Full Year
10,Science,Biology,Reproduction in Plants and Animals,Full Year
10,Science,Biology,Genetics,Full Year
10,Science,Biology,Origin and Evolution of Life,Full Year
10,Science,Biology,Breeding and Biotechnology,Full Year
10,Science,Biology,Health and Diseases,Full Year
10,Science,Biology,Environmental Management,Full Year
10,Social Science,History,Outbreak of World War I and Its Aftermath,Full Year
10,Social Science,History,The World between two World Wars,Full Year
10,Social Science,History,World War II,Full Year
10,Social Science,Geography,India - Location Relief and Drainage,Full Year
10,Social Science,Geography,Climate and Natural Vegetation of India,Full Year
10,Social Science,Civics,Indian Constitution,Full Year
10,Social Science,Civics,Central Government,Full Year
10,Social Science,Civics,State Government,Full Year
10,Social Science,Economics,Gross Domestic Product and its Growth,Full Year
10,Social Science,Economics,Globalization and Trade,Full Year
